Sector,SIC code,Description,Industry,,,Priorities,DfT Integrated Transport Strategy,,,,,Policy priorities of Maritime Decarbonisation Strategy
Advanced Manufacturing,20,Manufacture of chemicals and chemical products,,Double annual business investment in the sector from £21 billion to £39 billion in 2035.,,Accessibility and inclusion,Put people's needs at the heart of everything we do,,,,,Regulating the GHG intensity of maritime fuels
Advanced Manufacturing,26,"Manufacture of computer, electronic and optical products",,,,Streamlining Information and ticketing,Put people's needs at the heart of everything we do,,,,,Putting a price on emissions
Advanced Manufacturing,27,Manufacture of electrical equipment,,,,Providing safe and dependable journeys.,Put people's needs at the heart of everything we do,,,,,Port decarbonisation & emissions at berth
Advanced Manufacturing,28,Manufacture of machinery and equipment not elsewhere classified,,,,Aligning transport and housing,Use transport to create better connected places across the country,,,,,Measures for small vessels and accelerating uptake in targeted subsectors
Advanced Manufacturing,29,"Manufacture of motor vehicles, trailers and semi-trailers",,,,Creating healthier and cleaner communities,Use transport to create better connected places across the country,,,,,Increasing the efficiency of maritime operations
Advanced Manufacturing,30,Manufacture of other transport equipment,,,,Championing technology and Innovation,Use transport to create better connected places across the country,,,,,Innovative regulatory environment
Advanced Manufacturing,,,Advanced materials,Manufacturing of materials using production processes that integrate advanced science and technology.,,Empowering local leaders,"Work in partnership with local leaders, collaborators and experts",,,,,Green skills
Advanced Manufacturing,303,Manufacture of air and spacecraft and related machinery,Aerospace manufacturing,"Manufacture of aerospace transport equipment, and parts and accessories, including motors and engines for aircraft.
",,Optimising decision-making and appraisal,"Work in partnership with local leaders, collaborators and experts",,,,,Continuing R&D support through UK SHORE
Advanced Manufacturing,3316,Repair and maintenance of aircraft and spacecraft,,,,Driving collaboration through data,"Work in partnership with local leaders, collaborators and experts",,,,,Green corridors
Advanced Manufacturing,283,Manufacture of agricultural and forestry machinery,Agritech,,,,,,,,,Emission Control Areas and air quality
Advanced Manufacturing,29,"Manufacture of motor vehicles, trailers and semi-trailers",Automotive manufacturing ,,,,,,,,,Government shipbuilding support
Advanced Manufacturing,272,Manufacture of batteries and accumulators,Batteries ,,,,,,,,,Future review
Advanced Manufacturing,,N/A,Space,,,,,,,,,
Digital and Technologies ,,N/A,Space,,,,,,,,,
Defence,,N/A,Space,,,,,,,,,
Clean Energy Industries ,,N/A,Carbon capture and undersea storage (CCUS) and greenhouse gas removal (GGR),At least a doubling of current investment levels across our frontier Clean Energy Industries to over £30 billion per year by 2035.,,,,,,,,
Clean Energy Industries ,,N/A,Heat pumps,,,,,,,,,
Clean Energy Industries ,,N/A,Hydrogen,,,,,,,,,
Clean Energy Industries ,,N/A,Nuclear fission,,,,,,,,,
Clean Energy Industries ,,N/A,Nuclear fusion,,,,,,,,,
Clean Energy Industries ,,N/A,Offshore and onshore wind,,,,,,,,,
Creative Industries ,3212,Manufacture of jewellery and related articles,,,,,,,,,,
Creative Industries ,58,Publishing activities,,,,,,,,,,
Creative Industries ,59,"Motion picture, video and television programme production; sound recording and music publishing activities",,,,,,,,,,
Creative Industries ,60,Programming and broadcasting activities,,,,,,,,,,
